N_agents,sigma,steps,M_simulations,exponent,monopoly%,commune%,dynamic
10,0.1,10000,10,6.95,0.9453154684531547,0.03171682831716829,monopoly
10,0.1,10000,10,7.0,0.9636236376362364,0.018718128187181285,monopoly
10,0.1,10000,10,7.05,0.9410558944105588,0.033466653334666537,monopoly
10,0.1,10000,10,7.1,0.9707129287071294,0.01356864313568643,monopoly
10,0.1,10000,10,7.15,0.9613638636136386,0.019698030196980305,monopoly
10,0.1,10000,10,7.2,0.9702429757024298,0.01171882811718828,monopoly
10,0.1,10000,10,7.25,0.9700729927007299,0.011828817118288173,monopoly
10,0.1,10000,10,7.3,0.9761823817618238,0.008309169083091691,monopoly
10,0.1,10000,10,7.35,0.9765223477652233,0.008059194080591942,monopoly
10,0.1,10000,10,7.4,0.9728427157284273,0.01032896710328967,monopoly
10,0.1,10000,10,7.45,0.9784721527847214,0.006669333066693331,monopoly
10,0.1,10000,10,7.5,0.9792820717928207,0.005539446055394461,monopoly
10,0.1,10000,10,7.55,0.9795720427957203,0.00664933506649335,monopoly
10,0.1,10000,10,7.6,0.978012198780122,0.00690930906909309,monopoly
10,0.1,10000,10,7.65,0.9774522547745225,0.00606939306069393,monopoly
10,0.1,10000,10,7.7,0.9782021797820217,0.0051294870512948705,monopoly
10,0.1,10000,10,7.75,0.984981501849815,0.00215978402159784,monopoly
10,0.1,10000,10,7.8,0.982001799820018,0.0031996800319968,monopoly
10,0.1,10000,10,7.85,0.9805119488051195,0.003779622037796221,monopoly
10,0.1,10000,10,7.9,0.9822117788221177,0.00298970102989701,monopoly
10,0.1,10000,10,7.95,0.981041895810419,0.0032096790320967905,monopoly
10,0.1,10000,10,5.0,0.0,0.9961803819618039,commune
10,0.1,10000,10,5.05,0.0,0.9960903909609039,commune
10,0.1,10000,10,5.1,0.0,0.9948205179482053,commune
10,0.1,10000,10,5.15,0.0,0.9931706829317068,commune
10,0.1,10000,10,5.2,0.0,0.9917808219178081,commune
10,0.1,10000,10,5.25,0.0,0.9915408459154083,commune
10,0.1,10000,10,5.3,0.0,0.99005099490051,commune
10,0.1,10000,10,5.35,0.0,0.9883511648835117,commune
10,0.1,10000,10,5.4,0.0,0.9869213078692131,commune
10,0.1,10000,10,5.45,0.0,0.982931706829317,commune
10,0.1,10000,10,5.5,0.0,0.9818218178182182,commune
10,0.1,10000,10,5.55,0.0,0.9792620737926209,commune
10,0.1,10000,10,5.6,0.0,0.9769423057694231,commune
10,0.1,10000,10,5.65,0.0,0.9746925307469253,commune
10,0.1,10000,10,5.7,0.0,0.9698830116988301,commune
10,0.1,10000,10,5.75,0.0,0.9645935406459353,commune
10,0.1,10000,10,5.8,0.0,0.9617438256174381,commune
10,0.1,10000,10,5.85,0.0,0.9576842315768423,commune
10,0.1,10000,10,5.9,0.0,0.9516348365163483,commune
10,0.1,10000,10,5.95,0.0,0.9459754024597542,commune
10,0.1,10000,10,6.0,0.07341265873412658,0.8713328667133288,mixed
10,0.1,10000,10,6.05,0.01187881211878812,0.921927807219278,commune
10,0.1,10000,10,6.1,0.07504249575042496,0.8554544545545445,mixed
10,0.1,10000,10,6.15,0.0,0.9222077792220779,commune
10,0.1,10000,10,6.2,0.0,0.9170982901709829,commune
10,0.1,10000,10,6.25,0.0,0.9055594440555945,commune
10,0.1,10000,10,6.3,0.1872812718728127,0.7294370562943705,mixed
10,0.1,10000,10,6.35,0.3281671832816718,0.5921107889211078,mixed
10,0.1,10000,10,6.4,0.38801119888011193,0.5287971202879711,mixed
10,0.1,10000,10,6.45,0.3927407259274073,0.5222077792220778,mixed
10,0.1,10000,10,6.5,0.5975502449755025,0.34017598240175984,mixed
10,0.1,10000,10,6.55,0.7140285971402859,0.23392660733926607,mixed
10,0.1,10000,10,6.6,0.6297270272972704,0.30234976502349764,mixed
10,0.1,10000,10,6.65,0.8554744525547445,0.11171882811718828,mixed
10,0.1,10000,10,6.7,0.8246075392460753,0.13258674132586742,mixed
10,0.1,10000,10,6.75,0.9215178482151785,0.053484651534846515,monopoly
10,0.1,10000,10,6.8,0.954944505549445,0.026367363263673633,monopoly
10,0.1,10000,10,6.85,0.9415058494150583,0.03590640935906409,monopoly
10,0.1,10000,10,6.9,0.9561343865613438,0.025437456254374564,monopoly
10,0.1,10000,10,6.95,0.9247475252474752,0.04698530146985301,monopoly
10,0.1,10000,10,7.0,0.9614838516148385,0.01990800919908009,monopoly
10,0.1,10000,10,7.05,0.9665033496650336,0.01601839816018398,monopoly
10,0.1,10000,10,7.1,0.9636536346365363,0.01671832816718328,monopoly
10,0.1,10000,10,7.15,0.9758224177582241,0.010128987101289871,monopoly
10,0.1,10000,10,7.2,0.9671532846715328,0.014858514148585142,monopoly
10,0.1,10000,10,7.25,0.9738026197380261,0.009369063093690632,monopoly
10,0.1,10000,10,7.3,0.9772022797720228,0.008829117088291172,monopoly
10,0.1,10000,10,7.35,0.9779522047795222,0.006869313068693131,monopoly
10,0.1,10000,10,7.4,0.9795320467953207,0.007169283071692831,monopoly
10,0.1,10000,10,7.45,0.9768723127687231,0.00772922707729227,monopoly
10,0.1,10000,10,7.5,0.9788021197880212,0.0056294370562943695,monopoly
10,0.1,10000,10,7.55,0.9781921807819218,0.00564943505649435,monopoly
10,0.1,10000,10,7.6,0.9837416258374162,0.0031896810318968105,monopoly
10,0.1,10000,10,7.65,0.9806419358064193,0.00455954404559544,monopoly
10,0.1,10000,10,7.7,0.9845815418458154,0.0030596940305969403,monopoly
10,0.1,10000,10,7.75,0.9825017498250175,0.0033796620337966203,monopoly
10,0.1,10000,10,7.8,0.9831416858314169,0.00304969503049695,monopoly
10,0.1,10000,10,7.85,0.9825917408259175,0.0026297370262973706,monopoly
10,0.1,10000,10,7.9,0.9812918708129187,0.004649535046495351,monopoly
10,0.1,10000,10,7.95,0.983041695830417,0.00272972702729727,monopoly
